x,y
0,-0.281791
0.025,-0.281706
0.05,-0.28145
0.075,-0.281025
0.1,-0.280435
0.125,-0.279682
0.15,-0.278771
0.175,-0.277708
0.2,-0.276499
0.225,-0.275152
0.25,-0.273675
0.275,-0.272078
0.3,-0.270369
0.325,-0.26856
0.35,-0.266662
0.375,-0.264686
0.4,-0.262645
0.425,-0.260551
0.45,-0.258417
0.475,-0.256256
0.5,-0.254082
0.525,-0.251908
0.55,-0.249747
0.575,-0.247613
0.6,-0.245519
0.625,-0.243478
0.65,-0.241502
0.675,-0.239604
0.7,-0.237795
0.725,-0.236086
0.75,-0.234489
0.775,-0.233012
0.8,-0.231665
0.825,-0.230456
0.85,-0.229393
0.875,-0.228482
0.9,-0.227729
0.925,-0.227139
0.95,-0.226714
0.975,-0.226458
1,-0.226373
1.025,-0.225572
1.05,-0.223172
1.075,-0.219189
1.1,-0.213648
1.125,-0.206582
1.15,-0.198034
1.175,-0.188059
1.2,-0.176717
1.225,-0.164078
1.25,-0.15022
1.275,-0.135228
1.3,-0.119196
1.325,-0.102221
1.35,-0.084409
1.375,-0.0658689
1.4,-0.0467154
1.425,-0.0270666
1.45,-0.00704351
1.475,0.0132303
1.5,0.0336299
1.525,0.0540295
1.55,0.0743034
1.575,0.0943264
1.6,0.113975
1.625,0.133129
1.65,0.151669
1.675,0.169481
1.7,0.186456
1.725,0.202488
1.75,0.21748
1.775,0.231338
1.8,0.243977
1.825,0.255319
1.85,0.265294
1.875,0.273841
1.9,0.280907
1.925,0.286449
1.95,0.290432
1.975,0.292831
2,0.293633
2.025,0.292784
2.05,0.290242
2.075,0.286023
2.1,0.280153
2.125,0.272669
2.15,0.263615
2.175,0.253049
2.2,0.241034
2.225,0.227647
2.25,0.212967
2.275,0.197088
2.3,0.180105
2.325,0.162125
2.35,0.143257
2.375,0.123618
2.4,0.10333
2.425,0.0825168
2.45,0.0613073
2.475,0.0398322
2.5,0.0182238
2.525,-0.00338448
2.55,-0.0248596
2.575,-0.0460691
2.6,-0.0668823
2.625,-0.0871706
2.65,-0.106809
2.675,-0.125677
2.7,-0.143658
2.725,-0.16064
2.75,-0.17652
2.775,-0.191199
2.8,-0.204587
2.825,-0.216601
2.85,-0.227167
2.875,-0.236221
2.9,-0.243706
2.925,-0.249576
2.95,-0.253794
2.975,-0.256336
3,-0.257185
3.025,-0.255886
3.05,-0.251996
3.075,-0.24554
3.1,-0.236557
3.125,-0.225102
3.15,-0.211247
3.175,-0.195077
3.2,-0.176691
3.225,-0.156203
3.25,-0.133739
3.275,-0.109437
3.3,-0.0834478
3.325,-0.0559313
3.35,-0.0270569
3.375,0.00299706
3.4,0.0340455
3.425,0.0658969
3.45,0.0983549
3.475,0.131219
3.5,0.164288
3.525,0.197356
3.55,0.230221
3.575,0.262679
3.6,0.29453
3.625,0.325579
3.65,0.355632
3.675,0.384507
3.7,0.412023
3.725,0.438013
3.75,0.462314
3.775,0.484778
3.8,0.505267
3.825,0.523653
3.85,0.539823
3.875,0.553678
3.9,0.565132
3.925,0.574115
3.95,0.580572
3.975,0.584461
4,0.585761
4.025,0.583759
4.05,0.577766
4.075,0.567819
4.1,0.553979
4.125,0.536332
4.15,0.514986
4.175,0.490072
4.2,0.461746
4.225,0.43018
4.25,0.39557
4.275,0.358129
4.3,0.318089
4.325,0.275695
4.35,0.231209
4.375,0.184906
4.4,0.13707
4.425,0.0879977
4.45,0.0379906
4.475,-0.0126428
4.5,-0.0635903
4.525,-0.114538
4.55,-0.165171
4.575,-0.215178
4.6,-0.264251
4.625,-0.312086
4.65,-0.358389
4.675,-0.402875
4.7,-0.445269
4.725,-0.48531
4.75,-0.522751
4.775,-0.557361
4.8,-0.588926
4.825,-0.617253
4.85,-0.642166
4.875,-0.663512
4.9,-0.68116
4.925,-0.695
4.95,-0.704947
4.975,-0.71094
5,-0.712941
5.025,-0.711363
5.05,-0.706636
5.075,-0.698791
5.1,-0.687876
5.125,-0.673959
5.15,-0.657124
5.175,-0.637476
5.2,-0.615135
5.225,-0.590241
5.25,-0.562945
5.275,-0.533417
5.3,-0.501838
5.325,-0.468404
5.35,-0.43332
5.375,-0.396802
5.4,-0.359076
5.425,-0.320374
5.45,-0.280935
5.475,-0.241003
5.5,-0.200822
5.525,-0.160642
5.55,-0.120709
5.575,-0.0812706
5.6,-0.0425689
5.625,-0.00484291
5.65,0.0316748
5.675,0.0667591
5.7,0.100194
5.725,0.131772
5.75,0.1613
5.775,0.188596
5.8,0.213491
5.825,0.235831
5.85,0.255479
5.875,0.272314
5.9,0.286232
5.925,0.297147
5.95,0.304992
5.975,0.309718
6,0.311297
6.025,0.311006
6.05,0.310138
6.075,0.308696
6.1,0.30669
6.125,0.304132
6.15,0.301038
6.175,0.297428
6.2,0.293322
6.225,0.288747
6.25,0.28373
6.275,0.278304
6.3,0.2725
6.325,0.266356
6.35,0.259908
6.375,0.253197
6.4,0.246263
6.425,0.239151
6.45,0.231903
6.475,0.224564
6.5,0.21718
6.525,0.209795
6.55,0.202456
6.575,0.195208
6.6,0.188096
6.625,0.181163
6.65,0.174451
6.675,0.168004
6.7,0.161859
6.725,0.156055
6.75,0.150629
6.775,0.145612
6.8,0.141037
6.825,0.136932
6.85,0.133321
6.875,0.130227
6.9,0.127669
6.925,0.125663
6.95,0.124221
6.975,0.123353
7,0.123063
7.025,0.12162
7.05,0.1173
7.075,0.11013
7.1,0.100154
7.125,0.0874336
7.15,0.0720471
7.175,0.0540894
7.2,0.0336712
7.225,0.0109184
7.25,-0.0140288
7.275,-0.0410165
7.3,-0.0698783
7.325,-0.100436
7.35,-0.132502
7.375,-0.165878
7.4,-0.200358
7.425,-0.23573
7.45,-0.271776
7.475,-0.308273
7.5,-0.344997
7.525,-0.38172
7.55,-0.418217
7.575,-0.454263
7.6,-0.489635
7.625,-0.524115
7.65,-0.557491
7.675,-0.589557
7.7,-0.620115
7.725,-0.648977
7.75,-0.675964
7.775,-0.700911
7.8,-0.723664
7.825,-0.744082
7.85,-0.76204
7.875,-0.777427
7.9,-0.790147
7.925,-0.800123
7.95,-0.807293
7.975,-0.811613
8,-0.813056
8.025,-0.811852
8.05,-0.80825
8.075,-0.802272
8.1,-0.793953
8.125,-0.783346
8.15,-0.770516
8.175,-0.755542
8.2,-0.738516
8.225,-0.719544
8.25,-0.698741
8.275,-0.676238
8.3,-0.652171
8.325,-0.62669
8.35,-0.599952
8.375,-0.572121
8.4,-0.54337
8.425,-0.513875
8.45,-0.483818
8.475,-0.453385
8.5,-0.422763
8.525,-0.392141
8.55,-0.361707
8.575,-0.331651
8.6,-0.302155
8.625,-0.273404
8.65,-0.245573
8.675,-0.218835
8.7,-0.193354
8.725,-0.169288
8.75,-0.146784
8.775,-0.125982
8.8,-0.107009
8.825,-0.0899832
8.85,-0.075009
8.875,-0.0621789
8.9,-0.051572
8.925,-0.0432535
8.95,-0.0372748
8.975,-0.0336728
