x,y
0,-0.281791
0.1,-0.280435
0.2,-0.276499
0.3,-0.270369
0.4,-0.262645
0.5,-0.254082
0.6,-0.245519
0.7,-0.237795
0.8,-0.231665
0.9,-0.227729
1,-0.226373
1.1,-0.213648
1.2,-0.176717
1.3,-0.119196
1.4,-0.0467154
1.5,0.0336299
1.6,0.113975
1.7,0.186456
1.8,0.243977
1.9,0.280907
2,0.293633
2.1,0.280153
2.2,0.241034
2.3,0.180105
2.4,0.10333
2.5,0.0182238
2.6,-0.0668822
2.7,-0.143658
2.8,-0.204587
2.9,-0.243706
3,-0.257185
3.1,-0.236557
3.2,-0.176691
3.3,-0.0834478
3.4,0.0340455
3.5,0.164288
3.6,0.29453
3.7,0.412023
3.8,0.505267
3.9,0.565132
4,0.585761
4.1,0.553979
4.2,0.461746
4.3,0.318089
4.4,0.13707
4.5,-0.0635903
4.6,-0.264251
4.7,-0.445269
4.8,-0.588926
4.9,-0.68116
5,-0.712941
5.1,-0.687876
5.2,-0.615135
5.3,-0.501838
5.4,-0.359076
5.5,-0.200822
5.6,-0.0425689
5.7,0.100194
5.8,0.213491
5.9,0.286232
6,0.311297
6.1,0.30669
6.2,0.293322
6.3,0.2725
6.4,0.246263
6.5,0.21718
6.6,0.188096
6.7,0.161859
6.8,0.141037
6.9,0.127669
7,0.123063
7.1,0.100154
7.2,0.0336712
7.3,-0.0698783
7.4,-0.200358
7.5,-0.344997
7.6,-0.489635
7.7,-0.620115
7.8,-0.723664
7.9,-0.790147
8,-0.813056
8.1,-0.793953
8.2,-0.738516
8.3,-0.652171
8.4,-0.54337
8.5,-0.422763
8.6,-0.302155
8.7,-0.193354
8.8,-0.107009
8.9,-0.0515719
9,-0.0324696
9.1,-0.00893082
9.2,0.0593815
9.3,0.16578
9.4,0.299851
9.5,0.448469
9.6,0.597088
9.7,0.731158
9.8,0.837557
9.9,0.905869
