x,y,z
0,0,0.0148016
0,1,0.0582549
0,2,0.0959043
0,3,0.0983248
0,4,0.151182
0,5,0.12517
0,6,0.130104
0,7,0.164501
0,8,0.196864
0,9,0.174159
0,10,0.105954
0,11,0.104689
0,12,0.0746768
0,13,0.0900153
0,14,0.105319
0,15,0.156021
0,16,0.141111
0,17,0.126985
0,18,0.0800516
0,19,0.0132658
0,20,-0.0648383
0,21,-0.0749866
0,22,-0.0622763
0,23,-0.108446
0,24,-0.121661
0,25,-0.144119
0,26,-0.0810303
0,27,-0.0775085
0,28,-0.0403852
0,29,0.0327936
0,30,0.0743819
0,31,0.0537914
0,32,0.0534009
0,33,0.0479122
0,34,0.0418808
0,35,0.0156681
0,36,-0.0442206
0,37,-0.12777
0,38,-0.1729
0,39,-0.298397
0,40,-0.327067
0,41,-0.311023
0,42,-0.351464
0,43,-0.345909
0,44,-0.330883
0,45,-0.391634
0,46,-0.440574
0,47,-0.468761
0,48,-0.47592
0,49,-0.525588
0,50,-0.543388
0,51,-0.456877
0,52,-0.430658
0,53,-0.417526
0,54,-0.437556
0,55,-0.454552
0,56,-0.37752
0,57,-0.28478
0,58,-0.237172
0,59,-0.141307
0,60,-0.15893
0,61,-0.162015
0,62,-0.189074
0,63,-0.17353
0,64,-0.15722
0,65,-0.120978
0,66,-0.114373
0,67,-0.0670979
0,68,-0.0616625
0,69,-0.0322858
0,70,-0.0425312
0,71,-0.0717656
0,72,-0.0875908
0,73,-0.148741
0,74,-0.190525
0,75,-0.180188
0,76,-0.230131
0,77,-0.344652
0,78,-0.446969
0,79,-0.498721
0,80,-0.492319
0,81,-0.459639
0,82,-0.443063
0,83,-0.462913
0,84,-0.477142
0,85,-0.442321
0,86,-0.392718
0,87,-0.318999
0,88,-0.270201
0,89,-0.286719
0,90,-0.290381
0,91,-0.296826
0,92,-0.286269
0,93,-0.263038
0,94,-0.253243
0,95,-0.240461
0,96,-0.197188
0,97,-0.23866
0,98,-0.249475
0,99,-0.280134
1,0,-0.0195741
1,1,-0.0140993
1,2,0.032605
1,3,0.0758494
1,4,0.1117
1,5,0.122885
1,6,0.145584
1,7,0.177098
1,8,0.175165
1,9,0.178625
1,10,0.122922
1,11,0.113441
1,12,0.107209
1,13,0.133767
1,14,0.151931
1,15,0.154453
1,16,0.166692
1,17,0.139636
1,18,0.0731986
1,19,-0.00506803
1,20,-0.0484152
1,21,-0.0435005
1,22,-0.0319898
1,23,-0.0913066
1,24,-0.101343
1,25,-0.0729477
1,26,-0.0386659
1,27,-0.0374434
1,28,-0.0358132
1,29,0.0197506
1,30,0.0850529
1,31,0.0983598
1,32,0.0985106
1,33,0.10592
1,34,0.0707233
1,35,0.0283486
1,36,-0.0454635
1,37,-0.123053
1,38,-0.194408
1,39,-0.304775
1,40,-0.319993
1,41,-0.317543
1,42,-0.344263
1,43,-0.305959
1,44,-0.312944
1,45,-0.359932
1,46,-0.460251
1,47,-0.45309
1,48,-0.471602
1,49,-0.483071
1,50,-0.497513
1,51,-0.438469
1,52,-0.413731
1,53,-0.413871
1,54,-0.409284
1,55,-0.421205
1,56,-0.407448
1,57,-0.31474
1,58,-0.271385
1,59,-0.183408
1,60,-0.115489
1,61,-0.132065
1,62,-0.149409
1,63,-0.133452
1,64,-0.0886078
1,65,-0.0514416
1,66,-0.0418097
1,67,-0.00140037
1,68,-0.0240279
1,69,-0.0206472
1,70,-0.0128097
1,71,-0.0432101
1,72,-0.0985867
1,73,-0.136918
1,74,-0.163098
1,75,-0.174276
1,76,-0.237444
1,77,-0.358692
1,78,-0.454974
1,79,-0.510981
1,80,-0.486585
1,81,-0.443591
1,82,-0.436308
1,83,-0.474044
1,84,-0.489106
1,85,-0.427526
1,86,-0.358073
1,87,-0.286868
1,88,-0.282064
1,89,-0.27361
1,90,-0.268732
1,91,-0.280042
1,92,-0.316766
1,93,-0.279247
1,94,-0.244299
1,95,-0.201751
1,96,-0.1851
1,97,-0.209589
1,98,-0.226025
1,99,-0.263
2,0,-0.0525866
2,1,-0.0549196
2,2,-0.043705
2,3,-0.0193288
2,4,0.0315227
2,5,0.035334
2,6,0.0905258
2,7,0.112907
2,8,0.12729
2,9,0.147893
2,10,0.106145
2,11,0.112563
2,12,0.114032
2,13,0.126526
2,14,0.139382
2,15,0.0905632
2,16,0.107641
2,17,0.132678
2,18,0.0968565
2,19,0.0334077
2,20,-0.0223567
2,21,-0.0317735
2,22,-0.0415353
2,23,-0.0425809
2,24,-0.0448404
2,25,-0.0245536
2,26,0.0166695
2,27,0.0217547
2,28,0.0645994
2,29,0.0635891
2,30,0.0800823
2,31,0.111153
2,32,0.11779
2,33,0.0956644
2,34,0.0756928
2,35,0.0370945
2,36,-0.0493224
2,37,-0.132695
2,38,-0.201526
2,39,-0.26376
2,40,-0.284179
2,41,-0.273846
2,42,-0.276577
2,43,-0.257565
2,44,-0.262894
2,45,-0.323286
2,46,-0.391889
2,47,-0.402461
2,48,-0.429538
2,49,-0.388017
2,50,-0.389167
2,51,-0.356346
2,52,-0.333948
2,53,-0.35
2,54,-0.34772
2,55,-0.366035
2,56,-0.355773
2,57,-0.31724
2,58,-0.25495
2,59,-0.185655
2,60,-0.125123
2,61,-0.112723
2,62,-0.0859726
2,63,-0.0708487
2,64,-0.0553557
2,65,-0.0169131
2,66,0.00815167
2,67,0.00532993
2,68,0.00372551
2,69,0.0126672
2,70,-0.012297
2,71,-0.0389786
2,72,-0.0880548
2,73,-0.161672
2,74,-0.177739
2,75,-0.180156
2,76,-0.269402
2,77,-0.378454
2,78,-0.464312
2,79,-0.511728
2,80,-0.478863
2,81,-0.462438
2,82,-0.458681
2,83,-0.476414
2,84,-0.46752
2,85,-0.404115
2,86,-0.319214
2,87,-0.273969
2,88,-0.243025
2,89,-0.240017
2,90,-0.236682
2,91,-0.266578
2,92,-0.341075
2,93,-0.268088
2,94,-0.236999
2,95,-0.217014
2,96,-0.201225
2,97,-0.164878
2,98,-0.180463
